ipz,ipt,itp,pz_lo,pz_hi,pt_lo,pt_hi,tp_lo,tp_hi,sigma_ar23_LE_d3,sigma_ar23_LE_d3err,sigma_ar23_LE,sigma_ar23_LE_mcerr,n_mc_C_LE,n_mc_H_LE,sigma_ar23_ME_d3,sigma_ar23_ME_d3err,sigma_ar23_ME,sigma_ar23_ME_mcerr,n_mc_C_ME,n_mc_H_ME,sigma_data_LE,sigma_data_LE_staterr,sigma_data_LE_toterr,sigma_data_ME,sigma_data_ME_staterr,sigma_data_ME_toterr,w_LE,w_LE_err,w_ME,w_ME_err,w_BNB_raw,w_BNB,w_BNB_err,unmeasured_LE,unmeasured_ME,no_mc_LE,no_mc_ME,excluded
1,2,8,2.0,2.5,0.25,0.325,0.4,0.6,5.694924663443461e-40,1.6978984898932923e-41,4.271193497582596e-42,1.2734238674199693e-43,1125,0,2.137092214523806e-40,1.2022082968619684e-41,1.6028191608928544e-42,9.016562226464764e-44,316,0,6.228969876100881e-43,5.2189756991221224e-43,5.7336658481522535e-43,1.0102629638657175e-42,3.3475684025050264e-43,4.214336126070307e-43,0.14583675217773076,0.13431076455806165,0.6303037725746603,0.26531272687061225,-0.3293135947500271,0.0,0.3721371891974267,False,False,False,False,False
1,2,9,2.0,2.5,0.25,0.325,0.6,0.799,2.024862102557674e-40,1.0149716601700327e-41,1.511053344033665e-42,7.574226014018874e-44,398,0,7.680536233101899e-41,7.225240714855301e-42,5.731600163952297e-43,5.391835883460772e-44,113,0,5.458916603776277e-43,6.980099212651029e-43,7.272046798747217e-43,1.0920836224491284e-43,1.0854978048260821e-43,1.2954204746578782e-43,0.3612656446134477,0.4815973613143831,0.19053730044143002,0.22672339058369673,0.528710751397542,0.528710751397542,0.9795070521146015,False,False,False,False,False
1,3,0,2.0,2.5,0.325,0.4,0.0,0.02,2.207099691787865e-39,1.0570090494489595e-40,1.6553247688408994e-42,7.927567870867199e-44,436,0,6.695320545501796e-40,6.729050333511241e-41,5.021490409126348e-43,5.046787750133432e-44,99,0,8.338517612347894e-42,1.3202253643519377e-42,1.7285333851378908e-42,2.5311658120931868e-42,2.896958135909972e-43,4.6451788156593695e-43,5.037390709852506,1.071731525017014,5.040666427427401,1.0546967690285836,5.034177986846359,5.034177986846359,2.361464956696381,False,False,False,False,False
1,3,1,2.0,2.5,0.325,0.4,0.02,0.04,3.568819455757902e-39,1.3440951665372026e-40,2.676614591818427e-42,1.008071374902902e-43,705,0,9.265241562967131e-40,7.91583007991658e-41,6.94893117222535e-43,5.936872559937436e-44,137,0,5.585105164902119e-42,9.054571713736636e-43,1.2005157578573217e-42,2.198486516053182e-42,2.248565618467333e-43,3.332737796246142e-43,2.0866303209935557,0.45535294959250155,3.1637765025511557,0.5505290798673632,1.0301984890812945,1.0301984890812945,1.0512133675907023,False,False,False,False,False
1,3,2,2.0,2.5,0.325,0.4,0.04,0.08,7.603357195104068e-39,1.3872522227669815e-40,1.1405035792656103e-41,2.080878334150473e-43,3004,0,2.130329264477844e-39,8.48743494735405e-41,3.195493896716767e-42,1.2731152421031078e-43,630,0,1.288536817006269e-41,1.5629685509338058e-42,2.2810929475034926e-42,5.0704958721472315e-42,4.108706129591639e-43,6.674556536494279e-43,1.129796381556277,0.2010669596682818,1.5867643738443529,0.2182312935032312,0.6816162352737409,0.6816162352737409,0.452136686697205,False,False,False,False,False
1,3,3,2.0,2.5,0.325,0.4,0.08,0.12,8.565166693818965e-39,1.4723824842921776e-40,1.284775004072845e-41,2.2085737264382667e-43,3384,0,2.3873213662243784e-39,8.984802486263071e-41,3.580982049336568e-42,1.3477203729394608e-43,706,0,1.040906371979938e-41,1.2264534892962437e-42,2.1719095524941917e-42,4.055882511282257e-42,3.5743134474608466e-43,6.469347269524077e-43,0.8101857279914204,0.16962254034582808,1.1326173813224425,0.18561926131499681,0.4939546833783026,0.4939546833783026,0.38213443724547125,False,False,False,False,False
1,3,4,2.0,2.5,0.325,0.4,0.12,0.16,5.30260763107291e-39,1.1585038431578823e-40,7.953911446609368e-42,1.7377557647368242e-43,2095,0,1.6467783361916032e-39,7.462264945857676e-41,2.4701675042874056e-42,1.119339741878652e-43,487,0,7.678910240180005e-42,1.1305558199739166e-42,1.726250704165355e-42,2.9793818945451376e-42,2.947747871840204e-43,5.217921408591242e-43,0.9654256640553132,0.21805420862716116,1.2061456922957257,0.2181938296153143,0.7293348671272162,0.7293348671272162,0.48202249034569744,False,False,False,False,False
1,3,5,2.0,2.5,0.325,0.4,0.16,0.24,2.6854733635171167e-39,5.829726216349003e-41,8.056420090551349e-42,1.7489178649047013e-43,2122,0,8.23389168095802e-40,3.73113247292884e-41,2.470167504287406e-42,1.119339741878652e-43,487,0,7.74307937290429e-42,1.580667866081315e-42,2.3345255149214904e-42,3.3577176448609774e-42,4.187479739624099e-43,7.878961762528064e-43,0.9611067056924516,0.2905222210324445,1.359307674088123,0.32485773036243987,0.5705634482274662,0.5705634482274662,0.6577719485113808,False,False,False,False,False
1,3,6,2.0,2.5,0.325,0.4,0.24,0.32,2.169133527364909e-39,5.239391827152063e-41,6.507400582094729e-42,1.5718175481456198e-43,1714,0,7.337800799868129e-40,3.52225709796729e-41,2.2013402399604397e-42,1.0566771293901874e-43,434,0,6.193804336740583e-42,1.2869373200932145e-42,1.6473765558576793e-42,1.770942081119065e-42,3.0130298194195783e-43,5.3515538595188496e-43,0.9518092913755742,0.2541961099618331,0.8044835818523404,0.24615229946371925,1.0963018141772074,1.0963018141772074,0.5583896946946784,False,False,False,False,False
1,3,7,2.0,2.5,0.325,0.4,0.32,0.4,1.9236189974297907e-39,4.933978622556782e-41,5.770856992289374e-42,1.4801935867670357e-43,1520,0,6.407895168548435e-40,3.2915146560759277e-41,1.922368550564531e-42,9.874543968227783e-44,379,0,3.116985218157046e-42,1.0671593878553829e-42,1.3689878046217909e-42,1.1465799648184446e-42,2.6103773936159507e-43,3.448179752369857e-43,0.5401251880477629,0.23762854156250515,0.5964412830628836,0.1819690628318384,0.48489209485985596,0.48489209485985596,0.5033864881023835,False,False,False,False,False
1,3,8,2.0,2.5,0.325,0.4,0.4,0.6,8.646161177921273e-40,2.0920853293889696e-41,6.484620883440955e-42,1.5690639970417272e-43,1708,0,2.7930983689820627e-40,1.3743938570468796e-41,2.094823776736547e-42,1.0307953927851597e-43,413,0,1.3943338812074708e-42,1.0742383771108208e-42,1.2258090680346394e-42,1.0310918920506105e-42,3.260756198794139e-43,4.112911467842344e-43,0.2150216498805696,0.1891048522287647,0.49220937030651457,0.19782511836753006,-0.05683553746026104,0.0,0.4218400803732277,False,False,False,False,False
1,3,9,2.0,2.5,0.325,0.4,0.6,0.799,2.772738306266162e-40,1.1877105966835728e-41,2.0691559610511244e-42,8.863290327751168e-44,545,0,1.0875095551294727e-40,8.597517928513959e-42,8.115540055153694e-43,6.415897754153545e-44,160,0,2.4563689564583803e-44,7.477901631498301e-44,7.681774871394649e-44,5.620328742139382e-43,3.0279109119087517e-43,3.6032316195039e-43,0.011871357223408877,0.0371286437092706,0.6925390921544706,0.44735456456995437,-0.6557066135743632,0.0,0.4448725356088978,False,False,False,False,False
1,4,0,2.0,2.5,0.4,0.475,0.0,0.02,1.9590540842245517e-39,9.958431568283142e-41,1.4692905631684132e-42,7.468823676212354e-44,387,0,6.492432044122958e-40,6.626310707415002e-41,4.869324033092216e-43,4.96973303056125e-44,96,0,4.271835731654108e-42,9.679842730098393e-43,1.226667511010363e-42,2.3555022115294157e-42,3.1138085359728944e-43,4.2246205322692114e-43,2.907413849063469,0.8478510825320416,4.8374316342910895,0.9982413221018354,1.0145117904748409,1.0145117904748409,1.9439401481274434,False,False,False,False,False
1,4,1,2.0,2.5,0.4,0.475,0.02,0.04,2.5563884044790657e-39,1.137577909381105e-40,1.9172913033592986e-42,8.531834320358285e-44,505,0,7.033468047799871e-40,6.896882850762095e-41,5.275101035849902e-43,5.172662138071568e-44,104,0,4.0848192874854463e-42,8.790808408940068e-43,1.1129815882442304e-42,1.693060916686985e-42,2.208763766311621e-43,2.7435794662650183e-43,2.1305157334873464,0.5881878272611639,3.209532680380607,0.6079086558489285,1.072249112495879,1.072249112495879,1.3087593241143705,False,False,False,False,False
1,4,2,2.0,2.5,0.4,0.475,0.04,0.08,5.1178389642145264e-39,1.1381409274355608e-40,7.676758446321786e-42,1.7072113911533402e-43,2022,0,1.4472713098357428e-39,6.995649923835623e-41,2.170906964753613e-42,1.049347488575343e-43,428,0,1.0592691247833589e-41,1.3014672132274593e-42,1.8646347822339705e-42,4.5359377516164345e-42,3.845664791000878e-43,5.973770254299217e-43,1.3798390716473479,0.24482417344890214,2.0894206086492706,0.2931226386166169,0.6839033334339235,0.6839033334339235,0.5637508271086555,False,False,False,False,False
1,4,3,2.0,2.5,0.4,0.475,0.08,0.12,9.033416055035433e-39,1.5120938225882892e-40,1.3550124082553142e-41,2.268140733882433e-43,3569,0,2.6071172427181254e-39,9.38930340240088e-41,3.910675864077186e-42,1.408395510360131e-43,771,0,1.4015147758442372e-41,1.442553529018824e-42,2.4180941155700545e-42,5.195309035706949e-42,3.986088880696102e-43,6.006101087471148e-43,1.034318776201318,0.179293380295183,1.3284939013816481,0.16086200517186272,0.7458008649667633,0.7458008649667633,0.3886058108797045,False,False,False,False,False
1,4,4,2.0,2.5,0.4,0.475,0.12,0.16,7.919741898628711e-39,1.415820664516319e-40,1.1879612847943058e-41,2.1237309967744782e-43,3129,0,2.2926400655809194e-39,8.804831127538294e-41,3.4389600983713775e-42,1.3207246691307437e-43,678,0,1.2450004830389356e-41,1.5888338340676077e-42,2.2411699400319458e-42,4.678151276645191e-42,3.955952354964017e-43,7.101739048361485e-43,1.048014357853847,0.1895848411244331,1.3603389230542888,0.21301425674569752,0.7416960342918755,0.7416960342918755,0.4297264228422491,False,False,False,False,False
1,4,5,2.0,2.5,0.4,0.475,0.16,0.24,4.6673071463954445e-39,7.685478743112213e-41,1.4001921439186324e-41,2.3056436229336626e-43,3688,0,1.3728788593301674e-39,4.817860299138615e-41,4.1186365779904994e-42,1.4453580897415838e-43,812,0,1.394995155612629e-41,1.9224887610199188e-42,3.014827312371294e-42,5.249954564428929e-42,5.235484169865903e-43,9.687846493276696e-43,0.9962883749001341,0.21593934442451504,1.2746826443692696,0.23943544765735789,0.723247841382328,0.723247841382328,0.48794989476853434,False,False,False,False,False
1,4,6,2.0,2.5,0.4,0.475,0.24,0.32,2.6677558201197378e-39,5.810463438400443e-41,8.003267460359212e-42,1.7431390315201326e-43,2108,0,8.470594932566669e-40,3.7843827233950016e-41,2.5411784797700006e-42,1.1353148170184999e-43,501,0,9.017780600819103e-42,1.8558620527246188e-42,2.4715332789554697e-42,3.2561596497767e-42,4.099856914242454e-43,6.174166517771665e-43,1.1267623686806485,0.30978913025022164,1.28135810833382,0.24961779851653354,0.9751396240208074,0.9751396240208074,0.6606557690071799,False,False,False,False,False
