# hA2018/hA2025 INTRANUKE pi+ FSI TGraph2D points (archival), extracted
# from hA_TGraphs_2D/TGraphs_{2018,2025}.root by scripts/extract_ha_tgraphs.py.
# model=2018: value = fate fraction(A, KE[MeV]).
# model=2025: value = log(cross section).
# The runtime table is ha_pion_fsi_weights_A40.csv.
model,graph,fate,A,KE,value
2018,TfracPipA_CEx,cex,16.0,100.0,0.323299
2018,TfracPipA_CEx,cex,16.0,150.0,0.373588
2018,TfracPipA_CEx,cex,16.0,200.0,0.434528
2018,TfracPipA_CEx,cex,16.0,250.0,0.475984
2018,TfracPipA_CEx,cex,16.0,300.0,0.49337
2018,TfracPipA_CEx,cex,16.0,350.0,0.503978
2018,TfracPipA_CEx,cex,16.0,400.0,0.252838
2018,TfracPipA_CEx,cex,16.0,450.0,0.0
2018,TfracPipA_CEx,cex,16.0,500.0,0.0
2018,TfracPipA_CEx,cex,16.0,550.0,0.0
2018,TfracPipA_CEx,cex,16.0,600.0,0.0
2018,TfracPipA_CEx,cex,16.0,650.0,0.0
2018,TfracPipA_CEx,cex,16.0,700.0,0.0
2018,TfracPipA_CEx,cex,16.0,750.0,0.0
2018,TfracPipA_CEx,cex,16.0,800.0,0.0
2018,TfracPipA_CEx,cex,16.0,850.0,0.0
2018,TfracPipA_CEx,cex,16.0,900.0,0.0
2018,TfracPipA_CEx,cex,16.0,950.0,0.0
2018,TfracPipA_CEx,cex,16.0,1000.0,0.0
2018,TfracPipA_CEx,cex,16.0,100.0,0.253484
2018,TfracPipA_CEx,cex,27.0,85.0,0.054
2018,TfracPipA_CEx,cex,27.0,125.0,0.051
2018,TfracPipA_CEx,cex,27.0,165.0,0.064
2018,TfracPipA_CEx,cex,27.0,205.0,0.054
2018,TfracPipA_CEx,cex,27.0,245.0,0.067
2018,TfracPipA_CEx,cex,27.0,315.0,0.09
2018,TfracPipA_CEx,cex,48.0,0.0,0.0532357
2018,TfracPipA_CEx,cex,48.0,50.0,0.0676257
2018,TfracPipA_CEx,cex,48.0,100.0,0.294792
2018,TfracPipA_CEx,cex,48.0,150.0,0.342787
2018,TfracPipA_CEx,cex,48.0,200.0,0.402786
2018,TfracPipA_CEx,cex,48.0,250.0,0.44479
2018,TfracPipA_CEx,cex,48.0,300.0,0.462094
2018,TfracPipA_CEx,cex,48.0,350.0,0.47323
2018,TfracPipA_CEx,cex,48.0,400.0,0.237594
2018,TfracPipA_CEx,cex,48.0,450.0,0.0
2018,TfracPipA_CEx,cex,48.0,500.0,0.0
2018,TfracPipA_CEx,cex,48.0,550.0,0.0
2018,TfracPipA_CEx,cex,48.0,600.0,0.0
2018,TfracPipA_CEx,cex,48.0,650.0,0.0
2018,TfracPipA_CEx,cex,48.0,700.0,0.0
2018,TfracPipA_CEx,cex,48.0,750.0,0.0
2018,TfracPipA_CEx,cex,48.0,800.0,0.0
2018,TfracPipA_CEx,cex,48.0,850.0,0.0
2018,TfracPipA_CEx,cex,48.0,900.0,0.0
2018,TfracPipA_CEx,cex,48.0,950.0,0.0
2018,TfracPipA_CEx,cex,48.0,1000.0,0.0
2018,TfracPipA_CEx,cex,56.0,85.0,0.042
2018,TfracPipA_CEx,cex,56.0,165.0,0.056
2018,TfracPipA_CEx,cex,56.0,245.0,0.059
2018,TfracPipA_CEx,cex,56.0,315.0,0.07
2018,TfracPipA_CEx,cex,56.0,0.0,0.0497015
2018,TfracPipA_CEx,cex,56.0,50.0,0.0629895
2018,TfracPipA_CEx,cex,56.0,100.0,0.290772
2018,TfracPipA_CEx,cex,56.0,150.0,0.338412
2018,TfracPipA_CEx,cex,56.0,200.0,0.398225
2018,TfracPipA_CEx,cex,56.0,250.0,0.440265
2018,TfracPipA_CEx,cex,56.0,300.0,0.457546
2018,TfracPipA_CEx,cex,56.0,350.0,0.468746
2018,TfracPipA_CEx,cex,56.0,400.0,0.235368
2018,TfracPipA_CEx,cex,56.0,450.0,0.0
2018,TfracPipA_CEx,cex,56.0,500.0,0.0
2018,TfracPipA_CEx,cex,56.0,550.0,0.0
2018,TfracPipA_CEx,cex,56.0,600.0,0.0
2018,TfracPipA_CEx,cex,56.0,650.0,0.0
2018,TfracPipA_CEx,cex,56.0,700.0,0.0
2018,TfracPipA_CEx,cex,56.0,750.0,0.0
2018,TfracPipA_CEx,cex,56.0,800.0,0.0
2018,TfracPipA_CEx,cex,56.0,850.0,0.0
2018,TfracPipA_CEx,cex,56.0,900.0,0.0
2018,TfracPipA_CEx,cex,56.0,950.0,0.0
2018,TfracPipA_CEx,cex,56.0,1000.0,0.0
2018,TfracPipA_CEx,cex,56.0,125.0,0.0473
2018,TfracPipA_CEx,cex,56.0,205.0,0.0517
2018,TfracPipA_CEx,cex,58.0,0.0,0.0489193
2018,TfracPipA_CEx,cex,58.0,50.0,0.0619663
2018,TfracPipA_CEx,cex,58.0,100.0,0.289856
2018,TfracPipA_CEx,cex,58.0,150.0,0.337415
2018,TfracPipA_CEx,cex,58.0,200.0,0.397183
2018,TfracPipA_CEx,cex,58.0,250.0,0.439231
2018,TfracPipA_CEx,cex,58.0,300.0,0.456505
2018,TfracPipA_CEx,cex,58.0,350.0,0.467719
2018,TfracPipA_CEx,cex,58.0,400.0,0.234859
2018,TfracPipA_CEx,cex,58.0,450.0,0.0
2018,TfracPipA_CEx,cex,58.0,500.0,0.0
2018,TfracPipA_CEx,cex,58.0,550.0,0.0
2018,TfracPipA_CEx,cex,58.0,600.0,0.0
2018,TfracPipA_CEx,cex,58.0,650.0,0.0
2018,TfracPipA_CEx,cex,58.0,700.0,0.0
2018,TfracPipA_CEx,cex,58.0,750.0,0.0
2018,TfracPipA_CEx,cex,58.0,800.0,0.0
2018,TfracPipA_CEx,cex,58.0,850.0,0.0
2018,TfracPipA_CEx,cex,58.0,900.0,0.0
2018,TfracPipA_CEx,cex,58.0,950.0,0.0
2018,TfracPipA_CEx,cex,58.0,1000.0,0.0
2018,TfracPipA_CEx,cex,58.0,100.0,0.151753
2018,TfracPipA_CEx,cex,63.0,0.0,0.0471091
2018,TfracPipA_CEx,cex,63.0,50.0,0.0596025
2018,TfracPipA_CEx,cex,63.0,100.0,0.2877
2018,TfracPipA_CEx,cex,63.0,150.0,0.335064
2018,TfracPipA_CEx,cex,63.0,200.0,0.394725
2018,TfracPipA_CEx,cex,63.0,250.0,0.436786
2018,TfracPipA_CEx,cex,63.0,300.0,0.454046
2018,TfracPipA_CEx,cex,63.0,350.0,0.465293
2018,TfracPipA_CEx,cex,63.0,400.0,0.233655
2018,TfracPipA_CEx,cex,63.0,450.0,0.0
2018,TfracPipA_CEx,cex,63.0,500.0,0.0
2018,TfracPipA_CEx,cex,63.0,550.0,0.0
2018,TfracPipA_CEx,cex,63.0,600.0,0.0
2018,TfracPipA_CEx,cex,63.0,650.0,0.0
2018,TfracPipA_CEx,cex,63.0,700.0,0.0
2018,TfracPipA_CEx,cex,63.0,750.0,0.0
2018,TfracPipA_CEx,cex,63.0,800.0,0.0
2018,TfracPipA_CEx,cex,63.0,850.0,0.0
2018,TfracPipA_CEx,cex,63.0,900.0,0.0
2018,TfracPipA_CEx,cex,63.0,950.0,0.0
2018,TfracPipA_CEx,cex,63.0,1000.0,0.0
2018,TfracPipA_CEx,cex,93.0,85.0,0.039
2018,TfracPipA_CEx,cex,93.0,125.0,0.041
2018,TfracPipA_CEx,cex,93.0,165.0,0.052
2018,TfracPipA_CEx,cex,93.0,205.0,0.054
2018,TfracPipA_CEx,cex,93.0,245.0,0.076
2018,TfracPipA_CEx,cex,93.0,315.0,0.077
2018,TfracPipA_CEx,cex,93.0,0.0,0.0392173
2018,TfracPipA_CEx,cex,93.0,50.0,0.0493622
2018,TfracPipA_CEx,cex,93.0,100.0,0.277548
2018,TfracPipA_CEx,cex,93.0,150.0,0.323967
2018,TfracPipA_CEx,cex,93.0,200.0,0.383069
2018,TfracPipA_CEx,cex,93.0,250.0,0.425156
2018,TfracPipA_CEx,cex,93.0,300.0,0.442336
2018,TfracPipA_CEx,cex,93.0,350.0,0.453725
2018,TfracPipA_CEx,cex,93.0,400.0,0.227911
2018,TfracPipA_CEx,cex,93.0,450.0,0.0
2018,TfracPipA_CEx,cex,93.0,500.0,0.0
2018,TfracPipA_CEx,cex,93.0,550.0,0.0
2018,TfracPipA_CEx,cex,93.0,600.0,0.0
2018,TfracPipA_CEx,cex,93.0,650.0,0.0
2018,TfracPipA_CEx,cex,93.0,700.0,0.0
2018,TfracPipA_CEx,cex,93.0,750.0,0.0
2018,TfracPipA_CEx,cex,93.0,800.0,0.0
2018,TfracPipA_CEx,cex,93.0,850.0,0.0
2018,TfracPipA_CEx,cex,93.0,900.0,0.0
2018,TfracPipA_CEx,cex,93.0,950.0,0.0
2018,TfracPipA_CEx,cex,93.0,1000.0,0.0
2018,TfracPipA_CEx,cex,120.0,0.0,0.0346183
2018,TfracPipA_CEx,cex,120.0,50.0,0.0434432
2018,TfracPipA_CEx,cex,120.0,100.0,0.270919
2018,TfracPipA_CEx,cex,120.0,150.0,0.316693
2018,TfracPipA_CEx,cex,120.0,200.0,0.375383
2018,TfracPipA_CEx,cex,120.0,250.0,0.417449
2018,TfracPipA_CEx,cex,120.0,300.0,0.434563
2018,TfracPipA_CEx,cex,120.0,350.0,0.446035
2018,TfracPipA_CEx,cex,120.0,400.0,0.224091
2018,TfracPipA_CEx,cex,120.0,450.0,0.0
2018,TfracPipA_CEx,cex,120.0,500.0,0.0
2018,TfracPipA_CEx,cex,120.0,550.0,0.0
2018,TfracPipA_CEx,cex,120.0,600.0,0.0
2018,TfracPipA_CEx,cex,120.0,650.0,0.0
2018,TfracPipA_CEx,cex,120.0,700.0,0.0
2018,TfracPipA_CEx,cex,120.0,750.0,0.0
2018,TfracPipA_CEx,cex,120.0,800.0,0.0
2018,TfracPipA_CEx,cex,120.0,850.0,0.0
2018,TfracPipA_CEx,cex,120.0,900.0,0.0
2018,TfracPipA_CEx,cex,120.0,950.0,0.0
2018,TfracPipA_CEx,cex,120.0,1000.0,0.0
2018,TfracPipA_CEx,cex,165.0,0.0,0.0294849
2018,TfracPipA_CEx,cex,165.0,50.0,0.036878
2018,TfracPipA_CEx,cex,165.0,100.0,0.262666
2018,TfracPipA_CEx,cex,165.0,150.0,0.307608
2018,TfracPipA_CEx,cex,165.0,200.0,0.365728
2018,TfracPipA_CEx,cex,165.0,250.0,0.407724
2018,TfracPipA_CEx,cex,165.0,300.0,0.424744
2018,TfracPipA_CEx,cex,165.0,350.0,0.436306
2018,TfracPipA_CEx,cex,165.0,400.0,0.219256
2018,TfracPipA_CEx,cex,165.0,450.0,0.0
2018,TfracPipA_CEx,cex,165.0,500.0,0.0
2018,TfracPipA_CEx,cex,165.0,550.0,0.0
2018,TfracPipA_CEx,cex,165.0,600.0,0.0
2018,TfracPipA_CEx,cex,165.0,650.0,0.0
2018,TfracPipA_CEx,cex,165.0,700.0,0.0
2018,TfracPipA_CEx,cex,165.0,750.0,0.0
2018,TfracPipA_CEx,cex,165.0,800.0,0.0
2018,TfracPipA_CEx,cex,165.0,850.0,0.0
2018,TfracPipA_CEx,cex,165.0,900.0,0.0
2018,TfracPipA_CEx,cex,165.0,950.0,0.0
2018,TfracPipA_CEx,cex,165.0,1000.0,0.0
2018,TfracPipA_CEx,cex,181.0,0.0,0.0281161
2018,TfracPipA_CEx,cex,181.0,50.0,0.0351348
2018,TfracPipA_CEx,cex,181.0,100.0,0.260275
2018,TfracPipA_CEx,cex,181.0,150.0,0.30497
2018,TfracPipA_CEx,cex,181.0,200.0,0.362913
2018,TfracPipA_CEx,cex,181.0,250.0,0.40488
2018,TfracPipA_CEx,cex,181.0,300.0,0.42187
2018,TfracPipA_CEx,cex,181.0,350.0,0.433455
2018,TfracPipA_CEx,cex,181.0,400.0,0.217839
2018,TfracPipA_CEx,cex,181.0,450.0,0.0
2018,TfracPipA_CEx,cex,181.0,500.0,0.0
2018,TfracPipA_CEx,cex,181.0,550.0,0.0
2018,TfracPipA_CEx,cex,181.0,600.0,0.0
2018,TfracPipA_CEx,cex,181.0,650.0,0.0
2018,TfracPipA_CEx,cex,181.0,700.0,0.0
2018,TfracPipA_CEx,cex,181.0,750.0,0.0
2018,TfracPipA_CEx,cex,181.0,800.0,0.0
2018,TfracPipA_CEx,cex,181.0,850.0,0.0
2018,TfracPipA_CEx,cex,181.0,900.0,0.0
2018,TfracPipA_CEx,cex,181.0,950.0,0.0
2018,TfracPipA_CEx,cex,181.0,1000.0,0.0
2018,TfracPipA_CEx,cex,209.0,85.0,0.034
2018,TfracPipA_CEx,cex,209.0,125.0,0.04
2018,TfracPipA_CEx,cex,209.0,165.0,0.049
2018,TfracPipA_CEx,cex,209.0,245.0,0.072
2018,TfracPipA_CEx,cex,209.0,315.0,0.087
2018,TfracPipA_CEx,cex,209.0,0.0,0.0260947
2018,TfracPipA_CEx,cex,209.0,50.0,0.0325661
2018,TfracPipA_CEx,cex,209.0,100.0,0.256567
2018,TfracPipA_CEx,cex,209.0,150.0,0.300873
2018,TfracPipA_CEx,cex,209.0,200.0,0.358533
