# hA2018 -> hA2025 pi+ FSI fate-fraction weights at A = 40,
# tabulated from hA_TGraphs_2D/*.root with ROOT TGraph2D::Interpolate
# via the reference hA2025Reweighter (scripts/extract_ha_tgraphs.py).
# frac2018/frac2025: renormalized fate fractions; weight = f25/f18,
# set to 1 where f18 < 1e-06 (unmeasured / roundoff region).
# KE in MeV, clamped by the calculator to [1, 999].
KE,fate,frac2018,frac2025,weight
30.5,pipro,0.0,0.005749598439570628,1.0
31.0,cex,0.04243085376111164,0.06233465595780698,1.4690879497441884
31.0,abs,0.5546197778951059,0.5628014100410005,1.0147517857674415
31.0,inel,0.40294936834378237,0.3691296913481636,0.9160696612216426
31.0,pipro,0.0,0.005734242653028936,1.0
31.5,cex,0.042243621244114946,0.06241669362848773,1.4775412663558796
31.5,abs,0.5548461415996025,0.5613417460320551,1.011707037222474
31.5,inel,0.4029102371562825,0.37052268497045443,0.9196159610775404
31.5,pipro,0.0,0.005718875369002726,1.0
32.0,cex,0.042054683497817213,0.062498264804634815,1.486119014731824
32.0,abs,0.5550745669226032,0.5598807215263687,1.0086585747035959
32.0,inel,0.40287074957957963,0.3719175168256273,0.9231683293307992
32.0,pipro,0.0,0.005703496843369286,1.0
32.5,cex,0.04197878265866636,0.06257936676298731,1.4907380061929463
32.5,abs,0.5554955394379969,0.5584183614174016,1.0052616479735585
32.5,inel,0.40252567790333676,0.37331416448665367,0.9274294411009029
32.5,pipro,0.0,0.005688107332957388,1.0
33.0,cex,0.042269968241598926,0.0626599967969396,1.4823762449689832
33.0,abs,0.5565285534930815,0.5569546906990573,1.0007657059162574
33.0,inel,0.4012014782653196,0.37471260540847257,0.9339761334594844
33.0,pipro,0.0,0.005672707095530428,1.0
33.5,cex,0.042561964887538335,0.06274015221678261,1.4740896568699586
33.5,abs,0.5575644448866565,0.5554897344640574,0.9962789764633918
33.5,inel,0.39987359022580515,0.3761128169293906,0.9405792883621119
33.5,pipro,0.0,0.005657296389769484,1.0
34.0,cex,0.04285477598989072,0.06281983034994387,1.4658769973447727
34.0,abs,0.5586032256572171,0.5540235179023011,0.9918015014153779
34.0,inel,0.39854199835289217,0.37751477627249896,0.9472396330442081
34.0,pipro,0.0,0.005641875475256192,1.0
34.5,cex,0.043148404961018835,0.06289902854122582,1.4577370495630166
34.5,abs,0.5596449079105092,0.5525560662992113,0.987333322413734
34.5,inel,0.39720668712847196,0.3789184605471074,0.9539579086304522
34.5,pipro,0.0,0.005626444612455463,1.0
35.0,cex,0.04344285523237467,0.06297774415304352,1.4496686236707337
35.0,abs,0.56068950382,0.5510874050340642,0.982874480937281
35.0,inel,0.3958676409476252,0.3803238467501942,0.9607348704728116
35.0,pipro,0.0,0.005611004062698122,1.0
35.5,cex,0.04373813025463311,0.06305597456566005,1.4416705560700236
35.5,abs,0.5617370256273522,0.5496175595783056,0.978425018298355
35.5,inel,0.3945248441180147,0.38173091176787105,0.967571288498332
35.5,pipro,0.0,0.00559555408816333,1.0
36.0,cex,0.04403423349782676,0.06314789476724099,1.4340636761704404
36.0,abs,0.5627874856429017,0.5482696497352877,0.9742036980601487
36.0,inel,0.3931782808592715,0.3832256719258497,0.9746867784464828
36.0,pipro,0.0,0.005356783571621492,1.0
36.5,cex,0.044331168451481766,0.06329257053847791,1.4277216854265513
36.5,abs,0.5638408962461409,0.546938976839436,0.9700236014818506
36.5,inel,0.39182793530237736,0.3847938847773976,0.9820481137478074
36.5,pipro,0.0,0.004974567844688436,1.0
37.0,cex,0.04462893862475507,0.0634663620153999,1.4220898809409726
37.0,abs,0.5648972698862037,0.5455485202394422,0.9657481976312982
37.0,inel,0.39047379148904127,0.386364860206108,0.9894770625519727
37.0,pipro,0.0,0.004620257539049934,1.0
37.5,cex,0.04492754754657247,0.06363836126714248,1.4164663940575464
